[17:44:01] UDP debugger initialized OK
[17:47:32] [0.673541069031] Data read
[17:47:32] [0.6860871315] Data read
[17:47:32] [0.697404146194] Data read
[17:47:32] [0.709776163101] Data read
[17:47:32] [0.721601963043] Data read
[17:47:32] [0.734111070633] Data read
[17:47:32] [0.745558977127] Data read
[17:47:32] [0.757876157761] Data read
[17:47:32] [0.769427061081] Data read
[17:47:32] [0.781880140305] Data read
[17:47:32] [0.793185949326] Data read
[17:47:32] [0.805750131607] Data read
[17:47:32] [0.817175149918] Data read
[17:47:32] [0.829479932785] Data read
[17:47:32] [0.841432094574] Data read
[17:47:32] [0.853903055191] Data read
[17:47:32] [0.866590976715] Data read
[17:47:32] [0.877951145172] Data read
[17:47:32] [0.889171123505] Data read
[17:47:32] [0.901607036591] Data read
[17:47:32] [0.913414001465] Data read
[17:47:32] [0.925898075104] Data read
[17:47:32] [0.937256097794] Data read
[17:47:32] [0.949726104736] Data read
[17:47:32] [0.961437940598] Data read
[17:47:32] [0.973228931427] Data read
[17:47:32] [0.985211133957] Data read
[17:47:32] [0.997719049454] Data read
[17:47:32] [1.0089161396] Data read
[17:47:32] [1.02126908302] Data read
[17:47:32] [1.04156112671] Data read
[17:47:32] [1.05031394958] Data read
[17:47:32] [1.06041002274] Data read
[17:47:32] Sent heartbeat (3)
[17:47:32] [1.07419514656] Data read
[17:47:32] [1.08441996574] Data read
[17:47:32] [1.09643507004] Data read
[17:47:32] [1.10819911957] Data read
[17:47:32] [1.1200671196] Data read
[17:47:32] [1.13289093971] Data read
[17:47:32] [1.14453196526] Data read
[17:47:32] [1.15313196182] Data read
[17:47:32] [1.1651070118] Data read
[17:47:32] [1.17676901817] Data read
[17:47:32] [1.18902516365] Data read
[17:47:32] [1.20100307465] Data read
[17:47:32] [1.21283197403] Data read
[17:47:32] [1.22472715378] Data read
[17:47:32] [1.23679304123] Data read
[17:47:32] [1.24864697456] Data read
[17:47:32] [1.26080107689] Data read
[17:47:32] [1.27238106728] Data read
[17:47:32] [1.28494405746] Data read
[17:47:32] [1.29632711411] Data read
[17:47:32] [1.30880498886] Data read
[17:47:32] [1.32023310661] Data read
[17:47:32] [1.33265995979] Data read
[17:47:32] [1.34458804131] Data read
[17:47:32] [1.35664916039] Data read
[17:47:32] [1.36880993843] Data read
[17:47:32] [1.3807580471] Data read
[17:47:32] [1.39257097244] Data read
[17:47:32] [1.40498614311] Data read
